Date,Open,High,Low,Close,Adj Close,Volume
03-05-2001,0.46375,0.46875,0.441607,0.445714,0.38214,301543200
04-05-2001,0.432857,0.461607,0.427857,0.459821,0.394234,281052800
07-05-2001,0.4575,0.46,0.443571,0.445714,0.38214,276550400
08-05-2001,0.452679,0.454464,0.427679,0.43875,0.376169,315436800
09-05-2001,0.431071,0.438393,0.422679,0.428214,0.367136,324889600
10-05-2001,0.432321,0.4375,0.409821,0.410714,0.352132,288976800
11-05-2001,0.410893,0.419464,0.406429,0.408036,0.349836,203044800
14-05-2001,0.40875,0.422857,0.40625,0.415893,0.356572,309220800
15-05-2001,0.417321,0.455357,0.411429,0.413929,0.354888,237025600
16-05-2001,0.415357,0.4375,0.408036,0.430357,0.368973,322330400
17-05-2001,0.432679,0.434464,0.415179,0.420536,0.360553,332119200
18-05-2001,0.417143,0.422143,0.412857,0.420179,0.360247,159051200
21-05-2001,0.421964,0.426964,0.411607,0.420714,0.360705,460997600
22-05-2001,0.428571,0.430893,0.417857,0.419643,0.359787,412916000
23-05-2001,0.424107,0.424107,0.408214,0.414821,0.355653,281041600
24-05-2001,0.415893,0.416071,0.403929,0.414286,0.355194,271756800
25-05-2001,0.414286,0.415893,0.401786,0.406429,0.348458,158743200
29-05-2001,0.398571,0.401786,0.371607,0.383393,0.328708,515989600
30-05-2001,0.370714,0.370714,0.344643,0.353214,0.302833,777078400
31-05-2001,0.353571,0.361429,0.348036,0.35625,0.305436,442892800
01-06-2001,0.359464,0.376607,0.356786,0.373036,0.319828,456075200
04-06-2001,0.376429,0.376964,0.365357,0.368929,0.316307,281920800
05-06-2001,0.371429,0.376786,0.363393,0.373929,0.320594,471794400
06-06-2001,0.37375,0.37375,0.363036,0.370179,0.317379,223176800
07-06-2001,0.369821,0.3875,0.365179,0.386786,0.331617,325180800
08-06-2001,0.386607,0.386607,0.369821,0.380714,0.326411,342624800
11-06-2001,0.375893,0.37625,0.35625,0.357857,0.306814,294000000
12-06-2001,0.353036,0.369464,0.352857,0.362679,0.310948,303794400
13-06-2001,0.3825,0.388036,0.358214,0.365536,0.313398,511487200
14-06-2001,0.357857,0.365179,0.353036,0.355,0.304365,297348800
15-06-2001,0.358929,0.370536,0.345536,0.365,0.312938,454624800
18-06-2001,0.364464,0.372321,0.357143,0.363036,0.311254,345912000
19-06-2001,0.372321,0.382143,0.357321,0.360536,0.309111,321087200
20-06-2001,0.357143,0.390179,0.356786,0.386964,0.331769,431620000
21-06-2001,0.384821,0.410714,0.376786,0.401607,0.344324,341331200
22-06-2001,0.401429,0.410714,0.388571,0.3975,0.340803,286025600
25-06-2001,0.401786,0.428571,0.400893,0.428393,0.367289,439549600
26-06-2001,0.416786,0.424464,0.410893,0.424107,0.363614,272781600
27-06-2001,0.425536,0.428571,0.401786,0.416786,0.357338,374130400
28-06-2001,0.411607,0.426964,0.409643,0.420357,0.360399,348409600
